the (f),la
the (m),le
girl,la fille
boy,le garçon
a (m),un
a (f),une
woman,la femme
I am,je suis
man,l&#39;homme (m)
He is,Il est
apple,la pomme
red,rouge
rich,riche
You are (i),Tu es
child,l&#39;enfant (m)
I eat,je mange
you eat (i),tu manges
she eats,elle mange
orange,orange
calm,calme
cat (m),le chat
black,noir
dress,la robe
she has,elle a
and,et
the (plural),les
we are,nous sommes
men,les hommes
I like,j&#39;aime
he likes,il aime
I write,j&#39;écris
you write (i),tu écris
book,le livre
letter,la lettre
you are,vous êtes
you eat,vous mangez
you have,vous avez
we have,nous avons
we eat,nous mangeons
we like,nous aimons
she reads,elle lit
we read,nous lisons
newspaper,le journal
menu,le menu
they are (m),ils sont
they write (f),elles écrivent
they read (m),ils lisent
they eat (f),elles mangent
thank you,merci
yes,oui
no,non
goodnight,bonne nuit
"I am fine, thanks. (i)","Ça va bien, merci."
Hi!,Salut!
hello,bonjour
sorry (excuse),pardon
goodbye,au revoir
please,s&#39;il vous plaît
please (i),s&#39;il te plaît
there is/are,Il y a
"okay, all right",d&#39;accord
see you later,à plus tard
see you soon,à bientôt
see you tomorrow,à demain
How are you? (i),Comment ça va?
you&#39;re welcome (literally &quot;it&#39;s nothing&quot;),de rien
I am sorry,Je suis désolé
Thank you very much,Merci beaucoup
good evening,bonsoir
pasta,les pâtes
"sauce, dressing",la sauce
candy,le bonbon
onion,l&#39;oignon (m)
carrot,la carotte
grapes,le raisin
jam,la confiture
oil (cooking or lubricant),l&#39;huile (f)
bean,le haricot
meat,la viande
tomato,la tomate
sandwich,le sandwich
baguette,la baguette
soup,la soupe
You drink (i),tu bois
water,l&#39;eau (f)
alcohol,l&#39;alcool (m)
egg,l&#39;oeuf (m)
salad,la salade
they drink (m),ils boivent
rice,le riz
bread,le pain
wine,le vin
milk,le lait
beer,la bière
kitchen,la cuisine
drink,buvez
coffee,le café
tea,le thé
crepe,la crêpe
meal,le repas
butter,le beurre
to drink,boire
to eat,manger
banana,La banane
cheese,le fromage
fish,le poisson
with,avec
salt,le sel
sugar,le sucre
pepper,le poivre
chicken,le poulet
pork,le porc
cake,le gâteau
lemon,Le citron
chocolate,le chocolat
beef,le boeuf
strawberry,la fraise
juice,le jus
fly (insect),"""la mouche<div><img src=""""paste-1163936137428.jpg"""" /></div>"""
spider,"""l'araignée (f)<div><img src=""""paste-1662152343754.jpg"""" /></div>"""
dolphin,le dauphin
shark,le requin
"monkey, ape",le singe
tiger,le tigre
bee,l&#39;abeille (f)
snake,le serpent
butterfly,le papillon
whale,la baleine
zoo,le zoo
wolf,le loup
horse,le cheval
dog,le chien
animal,l&#39;animal
bird,l&#39;oiseau (m)
duck,le canard
female cat,la chatte
elephant,l&#39;éléphant (m)
bear,l&#39;ours (m)
tortoise/turtle,la tortue
lion,le lion
female dog,la chienne
cow,la vache
pig,le cochon
insect,l&#39;insecte (m)
ant,la fourmi
mouse,la souris
"hen, chicken",la poule
rabbit,le lapin
"alone, lonely, only",seul
strong,fort
clean,propre
cold,froid
hot,chaud
good,bon
small,petit
young,jeune
easy,facile
"light (adj, weight)",léger
dirty,sale
new,nouveau
new (f),nouvelle
tall,grand
fat,gros
bad,mauvais
heavy,lourd
liquid,liquide
perfect,parfait
pretty,joli
round,rond
blond,blond
some (de + les),des
dogs,les chiens
cats,les chats
the big dogs,les grands chiens
words,les mots
apples,les pommes
the small apples,les petites pommes
the big dogs (f),les grandes chiennes
the small elephants,les petits éléphants
letters,les lettres
the good names,les bons noms
the only ducks,les seuls canards
the lonely ducks,les canards seuls
the big fish (plural),les gros poissons
books,les livres
the pink glasses,les verres roses
recipes,les recettes
lemons,les citrons
sandwiches,les sandwichs
fruits,les fruits
strawberries,les fraises
baguettes,les baguettes
crêpes,les crêpes
vegetables,les légumes
"chips, fries",les frites
beans,les haricots
It is,C&#39;est
you are (i),tu es
I have,j&#39;ai
you have (i),tu as
he has,il a
these are,ce sont
they have (m),ils ont
w an adjective describing a person,il est
He is strong.,Il est fort.
w an adjective describing a situation,c&#39;est
That&#39;s normal!,C&#39;est normal !
w an unmodified adverb,il est
It&#39;s late.,Il est tard.
They are here.,Ils sont ici.
w a modified adverb,c&#39;est
It&#39;s too late.,C&#39;est trop tard.
It&#39;s very far from here.,C&#39;est très loin d&#39;ici.
w an unmodified noun,il est
He&#39;s (a) lawyer. (il est),Il est avocat.
She&#39;s (an) actress. (elle est),Elle est actrice.
w a modified noun,c&#39;est
He&#39;s a lawyer. (c&#39;est),C&#39;est un avocat.
She&#39;s a good actress. (c&#39;est),C&#39;est une bonne actrice.
w a prepositional phrase (people),il est
He&#39;s at the bank.,Il est à la banque.
She&#39;s in France.,Elle est en France.
w a proper name,c&#39;est
That&#39;s Luc.,C&#39;est Luc.
w a stressed pronoun,c&#39;est
That&#39;s me.,C&#39;est moi.
"wallet, portfolio",le portefeuille
"suit, costume",le costume
glove,le gant
jeans,le jean
jacket,la veste
bag,le sac
pocket,la poche
item of clothing,le vêtement
trousers,le pantalon
hat,le chapeau
shirt,la chemise
skirt,la jupe
coat,le manteau
boot,la botte
sock,la chaussette
umbrella,le parapluie
scarf,l&#39;écharpe (f)
cap,la casquette
tie,la cravate
my (m),mon
"your (i,m)",ton
his/her/its (m),son
my (f),ma
"your (i,f)",ta
his/her/its(f),sa
our (s),notre
"your (s, formal)",votre
their (s),leur
my (p),mes
"your (i,p)",tes
his/her/its (p),ses
our (p),nos
"your (p, formal)",vos
their (p),leurs
white,blanc
color,la couleur
blue,bleu
green,vert
yellow,jaune
pink,rose
grey,gris
brown,marron
violet,violet
to buy,acheter
to bring (something),apporter
to learn,apprendre
to respect,respecter
to hide,cacher
to call (name),appeler
to help,aider
to act,agir
to adore,adorer
to know (a fact),savoir
to want,vouloir
to look for,chercher
to know (a person),connaître
to begin,commencer
"to need to, must",falloir
I make/do,je fais
you make/do (i),tu fais
he makes; he does,il fait
you make/do,vous faites
we make; we do,nous faisons
they make; they do,ils font
I see,je vois
you see (i),tu vois
you see,vous voyez
he sees,il voit
we see,nous voyons
they see,ils voient
to read,lire
to write,écrire
to speak,parler
to like,aimer
to understand,comprendre
to be able to,pouvoir
to have to,devoir
to know,savoir
to do,faire
to go,aller
to wait,attendre
"to order, to command, to commission",commander
this/that,ça
this/that (m),ce
"this/that (m, before vowel)",cet
this/that (f),cette
these/those,ces
this,ceci
that,celà
or,ou
when (not quand),lorsque
otherwise,sinon
"since, as",puisque
"so, therefore",donc
"if, so",si
but,mais
because,car
as soon as,dès que
"still, nevertheless, regardless",quand même
while,pendant que
"due to the fact that, because",du fait que
what...,que...
where,où
when,quand
what,quoi
why?,pourquoi
how,comment
which one (f),laquelle
which (f),quelle
how much / how many,combien
which ones (m),lesquels
which ones (f),lesquelles
which (m),quel
who,qui
which one (m),lequel
to deserve,mériter
to wash,laver
to run,courir
to die,mourir
to cook,cuisiner
to become,devenir
to propose,proposer
to rain,pleuvoir
"to finish, end",finir
to enter,entrer
to close,fermer
to cut,couper
to put,mettre
"to terminate, finish",terminer
to place,poser
to hold,tenir
to carry,porter
to concern,concerner
to motivate,motiver
to photograph,photographier
to interest,intéresser
to throw,lancer
to own,posséder
to win,gagner
to contain,contenir
to live,vivre
to offer,offrir
to snow,neiger
to add,ajouter
to find,trouver
to seize,saisir
to improve,améliorer
to show,montrer
to sleep,dormir
I sleep,je dors
you sleep (i),tu dors
he sleeps,il dort
we sleep,nous dormons
you sleep,vous dormez
they sleep,ils dorment
I die,je meurs
you die (i),tu meurs
he dies,il meurt
we die,nous mourons
you die,vous mourez
they die,ils meurent
crazy,fou
crazy (f),folle
"broad, wide, loose",large
"last, top, latest (f)",dernière
"last, top, latest",dernier
pure,pur
"frank, straight, candid",franc
different,différent
dry,sec
mean,méchant
"smooth, gentle, mild, soft",doux
"smooth, gentle, mild, soft (f)",douce
long,long
sensitive,sensible
brilliant,génial
"naked, bare, unadorned",nu
ready,prêt
"nice, friendly, pleasant (starts with S, 5 letters)",sympa
Chinese,chinois
Japanese,japonais
enormous,énorme
African,africain
European,européen
"useless, hopeless, rubbish",nul
"stupid, silly",bête
natural,naturel
hard,dur
"serious, grave, solemn",grave
weak,faible
"light, bright, clear",clair
numerous,nombreux
French,français
dead,mort
"simple, straightforward, plain",simple
average (adj),moyen
"nice, kind, good, gentle (starts with G)",gentil
"true, real, genuine",vrai
serious,sérieux
European (f),européenne
"nice, kind, good, gentle (starts with G)  (f)",gentille
low,bas
ugly,laid
"against, in exchange for",contre
according to,d&#39;après
between,entre
"approximately, about",environ
despite,malgré
among,parmi
for,pour
without,sans
"at the home/office of, among",chez
"about, on the subject of",au sujet de
"next to, beside",à côté de
"to, at, in",à
concerning,concernant
"from, of, about",de
"during, while",durant
"in, on, to",en
outside of,en dehors de
"facing, across from",en face de
toward (figurative),envers
far from,loin de
"by, through",par
"as for, regarding",quant à
"except, but",sauf
"depending on, according to",selon
à+le,au
à+les,aux
that goes without saying,cela va de soi
"toward, near (literal)",vers
beside ourselves,hors de nous
in order to,afin de
"until, up to",jusqu&#39;à
even more (of),même plus de
"as much, as many",autant de
because of,à cause de
number,le nombre
one,un
two,deux
three,trois
four,quatre
five,cinq
six,six
seven,sept
eight,huit
nine,neuf
ten,dix
eleven,onze
twelve,douze
thirteen,treize
fourteen,quatorze
fifteen,quinze
sixteen,seize
seventeen,dix-sept
eighteen,dix-huit
nineteen,dix-neuf
twenty,vingt
"zero, 0",zéro
father,le père
mother,la mère
family,la famille
son,le fils
first name,le prénom
sister,la soeur
brother,le frère
"mum, mom",la maman
dad,le papa
husband,le mari
couple,le couple
baby,le bébé
uncle,l&#39;oncle
aunt,la tante
grandmother,la grand-mère
grandfather,le grand-père
cousin (m),le cousin
cousin (f),la cousine
nephew,le neveu
niece,la nièce
grandson,le petit-fils
grand-daughter,la petite-fille
mine (m),le mien
mine (f),la mienne
yours (m) (i),le tien
yours (f) (i),la tienne
"his, hers, its (m)",le sien
"his, hers, its (f)",la sienne
ours (m),le nôtre
ours (f),la nôtre
yours (m),le vôtre
yours (f),la vôtre
theirs (m),le leur
theirs (f),la leur
this/that one (m),celui
this/that one (f),celle
these/those/the ones (m),ceux
these/those/the ones (f),celles
I live,je vis
you live (i),tu vis
he lives,il vit
we live,nous vivons
you live,vous vivez
"To rescue, save, salvage",sauver
they live,ils vivent
to help someone to (inf),aider quelqu&#39;un à (inf)
to learn to,apprendre à
to teach someone,apprendre à quelqu&#39;un
"to manage, succeed in",arriver à
to expect something,s&#39;attendre à quelque chose
to start to,commencer à
to believe in,croire à
"to fall from, out of, off",tomber de
to be interested in something,s&#39;intéresser à quelque chose
to invite someone to,inviter quelqu&#39;un à
to take pleasure in ...ing,se plaire à
to buy from,acheter à
"to say, tell to",dire à
to play (a sport),jouer à
to be missed by someone,manquer à quelqu&#39;un
to talk to someone,parler à quelqu&#39;un
"To look like, to have physical similarities to",ressembler à
to respond to,répondre à
to phone somebody,téléphoner à quelqu&#39;un
to choose to,choisir de
to tell someone to do something,dire à quelqu&#39;un de faire quelque chose
to try to,essayer de
to finish doing something,finir de faire quelque chose
it&#39;s time for bed,il est temps de dormir
"to lack, neglect, fail to",manquer de
"notion, concept",la notion
i am going to show you,je vais vous montrer
to go out to eat,sortir dîner
I go out,je sors
you go out (i),tu sors
you go out,vous sortez
we go out,nous sortons
they go out,ils sortent
he goes out,il sort
to try out something,s&#39;essayer à quelque chose
naked (f),nue
get sick,tomber malade
more than,plus de
to ask to do something,demander à faire quelque chose
what to do?,Que faire?
the dark,le noir
the only one,le seul
to play (an instrument),jouer de
to think about (opinion),penser de
to ask someone to do something,demander à quelqu&#39;un de faire quelque chose
to please,plaire
I please,je plais
you please (i),tu plais
you please,vous plaisez
we please,nous plaisons
they please,ils plaisent
he pleases,il plaît
we eat to live,nous mangeons pour vivre
good to know,bon à savoir
it is beautiful to love,C&#39;est beau d&#39;aimer
to take along,emmener
to empty,vider
to grill,griller
to boil,bouillir
month,le mois
half-hour,la demi-heure
January,janvier
February,février
March,mars
April,avril
May,mai
June,juin
July,juillet
September,septembre
October,octobre
August,août
November,novembre
December,décembre
period,la période
"debut, start, beginning",le début
from monday to friday,de lundi à vendredi
summer (m),l&#39;été
on Mondays,le lundi
in an hour&#39;s time,dans une heure
until Monday,à lundi
"it is monday, we are on monday",nous sommes lundi
"every week, from Monday to Friday",du lundi au vendredi
youth,la jeunesse
watch (timepiece),la montre
birthday (m),l&#39;anniversaire
midnight,le minuit
a tough time,Une période difficile
from the beginning,depuis le début
"appointment, date, meeting",le rendez-vous
winter (m),l&#39;hiver
"fall, autumn (m)",l&#39;automne
season,la saison
date,la date
"again, still",encore
"celebration, party, feast",la fête
"epoch, era (f)",l&#39;époque
Happy New Year,Bonne année
this lasts for hours,Ça dure durant des heures
you follow (i),tu suis
you follow,vous suivez
he follows,il suit
we follow,nous suivons
they follow,ils suivent
week,la semaine
calendar,le calendrier
see you in october,Rendez-vous en octobre
tuesday night,mardi soir
date of birth,la date de naissance
We are in early December.,Nous sommes début décembre.
We are in February.,Nous sommes en février.
Monday,lundi
"In the beginning, it is difficult.",Au début c&#39;est difficile.
Tuesday,mardi
Wednesday,mercredi
Thursday,jeudi
Friday,vendredi
Saturday,samedi
Sunday,dimanche
to come,venir
"to be as good as, to be worth",valoir
to shave,se raser
"to roll, to drive",rouler
"to run away, to fly away, to escape",s&#39;enfuir
to suppose,supposer
to fall,tomber
"to serve, to be useful",servir
to go out,sortir
"to smell, to feel, to be conscious of",sentir
to mean,signifier
to reserve,réserver
to come back (return),revenir
to dream,rêver
to go back (return),retourner
to seem,sembler
to stay,rester
"to put down, put back, ask again",reposer
to give (something) back i.e. return it,rendre
to answer,répondre
to come or go home (return),rentrer
to refuse,refuser
to notice,remarquer
"to plan, program",programmer
to take for a walk,promener
"to present, introduce",présenter
to receive,recevoir
to prefer,préférer
to plant,planter
to think,penser
to be missed by,manquer à
to raise,relever
to weigh,peser
to pass,passer
to lie,mentir
to live in,habiter
to exist,exister
to explain,expliquer
to import,importer
to try,essayer
to play,jouer
to leave (not partir),laisser
to depend,dépendre
to work,travailler
to use,utiliser
to listen,écouter
to lead,diriger
to go down,descendre
to last,durer
to doubt,douter
to exchange,échanger
to cost,coûter
to fight,combattre
to continue,continuer
to ask,demander
to consist,consister
"to demonstrate, prove",démontrer
to correspond,correspondre
to affirm,affirmer
to sunbathe,bronzer
"to connect, plug in",brancher
to turn on,allumer
to belong,appartenir
to arrive,arriver
"to charge, load",charger
"to stand for, represent",représenter
to bring back (return something to a store),rapporter
"to reimburse, return $",rembourser
"to send back, to return (a thing)",renvoyer
I prefer,je préfère
you prefer (i),tu préfères
he prefers,il préfère
we prefer,nous préférons
you prefer,vous préférez
they prefer,ils préfèrent
to try to sleep,essayer de dormir
I come,je viens
you come (i),tu viens
he comes,il vient
we come,nous venons
you come,vous venez
they come,ils viennent
it happens,ça arrive
to think about,penser à
"to turn, spin",tourner
to get up,se lever
I raise,je lève
it&#39;s hot,il fait chaud
you raise (i),tu lèves
he raises,il lève
we raise,nous levons
you raise,vous levez
they raise,ils lèvent
to go for a walk,promener
I receive,je reçois
you receive (i),tu reçois
we receive,nous recevons
he receives,il reçoit
you receive,vous recevez
they receive,ils reçoivent
light,la lumière
I am worth,je vaux
you are worth (i),tu vaux
he is worth,il vaut
we are worth,nous valons
you are worth,vous valez
they are worth,ils valent
to shave oneself,se raser
I weigh,je pèse
you weigh (i),tu pèses
he weighs,il pèse
you weigh,vous pesez
we weigh,nous pesons
they weigh,ils pèsent
to fit into,rentrer dans
to rest,reposer
he belongs,il appartient
I belong,j&#39;appartiens
we belong,nous appartenons
you belong,vous appartenez
they belong,ils appartiennent
you belong (i),tu appartiens
to dream about,rêver de
What does that mean?,Qu&#39;est-ce que ça signifie ?
That means what?,Ça signifie quoi ?
"I miss her a lot, and I want to get her back","Elle me manque beaucoup, et je veux la retrouver"
How much does it cost (worth)?,Combien vaut-il ?
He is running away,Il s&#39;enfuit
How is your retirement going?,Comment se passe ta retraite ?
"official, civil servant",le fonctionnaire
journalist,le journaliste
"advisor, counsellor",le conseiller
staff,le personnel
teacher (not maître),l&#39;enseignant
"chief, chef",le chef
technician,le technicien
salesman,le vendeur
lawyer,l&#39;avocat
career,la carrière
engineer,l&#39;ingénieur
secretary,la secrétaire
agent,l&#39;agent
colonel,le colonel
retirement,la retraite
professor,le professeur
doctor,le médecin
"position, post, job",le poste
captain,le capitaine
soldier,le soldat
prince,le prince
judge,le juge
employment,l&#39;emploi (m)
education (f),l&#39;éducation
the police,la police
"trade, occupation, job",le métier
author,l&#39;auteur
"work, job",le travail
king,le roi
queen,la reine
the works,les travaux
princess,la princesse
a teacher&#39;s post,un poste d&#39;enseignant
to retire,prendre la retraite
unemployed (without job),Sans emploi
why bother?,pourquoi faire ?
cook (m),le cuisinier
"driver, chauffeur",le chauffeur
hairdresser,le coiffeur
policeman,le policier
baker (f),la boulangère
farmer (m),l&#39;agriculteur
farmer (f),l&#39;agricultrice
"though, yet",pourtant
on top,dessus
sometimes (not qqf),parfois
around,autour de
"better, best (bien)",mieux
"above all, especially (begins with an S, not spécialement)",surtout
"so much, so many",tant
"thus, so, as well as",ainsi
"at last, finally",enfin
"minus, less",moins
never,jamais
only (adv),seulement
to swim,nager
badly,mal
"however, meanwhile",cependant
"instead, rather",plutôt
"truly, really",vraiment
"as much, so much",autant
"simply, just",simplement
so,tellement
false,faux
"equally, as well",également
me neither,moi non plus
"beyond, further",au-delà
"notably, especially, in particular",notamment
particularly,particulièrement
here is,voici
"during/at the moment/time of, when (starts with &quot;L&quot;)",lors de
more (not plus),davantage
key,la clé
at least,au moins
from now on,désormais
"quickly, rapidly, briefly",rapidement
"obviously, of course, evidently",évidemment
exactly,exactement
of course not,évidemment non
"down, downstairs",en bas
enough!,il suffit
"the day after, the next day",le lendemain
to have breakfast,prendre petit-déjeuner
above,ci-dessus
to walk from...,marcher depuis
as...as,aussi...que
beauty,la beauté
"to seem, appear, be published, come out",paraître
I seem,je parais
you seem (i),tu parais
he seems,Il paraît
you seem,vous paraissez
we seem,nous paraissons
they seem,ils paraissent
I&#39;m leaving,je m&#39;en vais
"But as the years pass, the fewer there are.","Mais plus les années passent, moins ils sont nombreux."
"later, subsequently, at a later date",postérieurement
"later than, after",postérieurement à
about a year ago,Il y a environ un an
in about a month,dans un mois environ
much sooner,bien plus tôt
I don&#39;t want any more.,Je ne veux plus
nothing,rien
I want some,j&#39;en veux
"Neither, nor",ni
"nobody, person",personne
not at all,pas du tout
nobody is perfect,personne n&#39;est parfait
What do you have to say about it?,Qu&#39;en dites-vous?
There is no doubt,Il n&#39;y a pas de doute
there aren&#39;t any more of...,il n&#39;y a plus de
Days are longer and longer,Les jours sont de plus en plus longs
You don&#39;t offer anything.,Vous n&#39;offrez rien.
That will not work.,Ça ne marche pas.
This hat does not work for me.,Ce chapeau ne me va pas.
no longer,ne...plus
not,ne...pas
"perfectly, absolutely",parfaitement
"however, nevertheless (starts with t)",toutefois
"underneath, under",en dessous
naturally,naturellement
"directly, straight",directement
completely,complètement
normal,normal
"justly, precisely, correctly",justement
"finally, after all",finalement
"currently, at present, at the moment",actuellement
"otherwise, differently, in a different way",autrement
"entirely, completely",entièrement
certainly,certainement
absolutely,absolument
a must-read!,à lire absolument
relatively,relativement
"thoughtlessly, lightly, slightly",légèrement
inside (not à l&#39;intérieur),dedans
immediately,immédiatement
"precisely, exactly",précisément
"surely, most probably, certainly",sûrement
"essentially, principally, mainly",essentiellement
slowly,lentement
probably,probablement
"definitely, clearly, considerably, markedly",nettement
extremely,extrêmement
"rarely, seldom",rarement
easily,facilement
"luckily, fortunately",heureusement
"easily, widely, largely",largement
clearly,clairement
useful,utile
"totally, completely",totalement
"only, exclusively",uniquement
strongly,fortement
"sufficiently, enough",suffisamment
"really, actually",réellement
"definitively, for good, once and for all",définitivement
"in fact, actually, indeed, really",effectivement
"apparently, seemingly",apparemment
in fact,en fait
"principally, mainly, mostly",principalement
"normally, usually",normalement
frequently,fréquemment
recently,récemment
unfortunately,malheureusement
most,le plus
coldest,le plus froid
together,ensemble
"just, fair, right, tight",juste
"even, same",même
"maybe, perhaps, probably",peut-être
"then, so",alors
"more or less, just about, almost",à peu près
quite,tout
before,avant
"above all, primarily",avant tout
"while, whereas, even though",alors que
"exactly, entirely, completely, quite, fully",tout à fait
