the (f),la
That instant (there) is magical.,Cet instant-là est magique.
He is ending his career the following year.,Il termine sa carrière l&#39;année suivante.
He was feeling lost.,Il se sentait perdu.
What is a negative virtue?,Ce qui est une vertu négative ?
She is taking a random direction.,Elle prend une direction aléatoire.
Why not acknowledge it?,Pourquoi ne pas le reconnaître ?
Did it look professional?,Ça faisait-il professionnel?
Here our work is above all technical.,Ici notre travail est avant tout technique.
"whose, of which",dont
My car is not as new as that of my friends.,Ma voiture n&#39;est pas aussi neuve que celle de mes amis.
It is one of the most important.,C&#39;est l&#39;un des plus importants.
It is the city that I told you about.,C&#39;est la ville dont je vous parlais.
that which is in my pocket,celui qui est dans ma poche
It is the same thing for all.,C&#39;est la même chose pour tous.
They are all red.,Ils sont tous rouges.
Where are all the others?,Où sont tous les autres?
It is my daughter&#39;s.,C&#39;est celui de ma fille.
I can read everything.,Je peux lire tout.
On a professional level he is one of the best.,Sur un plan professionnel il est l&#39;un des meilleurs.
One of the biggest animals is the elephant.,Un des animaux les plus gros est l&#39;éléphant.
Parents are those on whom one can rely day and night.,Les parents sont ceux sur qui on peut compter jour et nuit.
I do not have any.,Je n&#39;en ai aucun.
Those (f) (there) are small.,Celles-là sont petites.
Is there someone here who speaks English?,Est-ce qu&#39;il y a quelqu&#39;un ici qui parle anglais ?
Those who sleep on the floor do not fall from their beds.,Ceux qui dorment par terre ne tombent pas de leurs lits.
Each of her children has his own bedroom.,Chacun de ses enfants a sa propre chambre.
"It goes without saying, but it is better to say.","Ça va sans dire, mais ça va mieux en le disant."
That goes without saying.,Cela va de soi.
Each of us trusts you.,Chacun de nous te fait confiance.
When does it open?,Quand ouvre-t-il?
and young families know that,et les jeunes familles savent ça
Everyone to his own trade!,Chacun son métier !
These houses are my uncle&#39;s ones.,Ces maisons sont celles de mon oncle.
nobody likes that,personne n&#39;aime cela
Those are not your children anymore.,Ceux-là ne sont plus tes enfants !
"Take what you want, my daughters.","Prenez ce que vous voulez, mes filles."
Why this one?,Pourquoi celui-ci ?
These are the dresses I am thinking of.,Ce sont les robes auxquelles je pense.
It is what she is talking about.,C&#39;est ce dont elle parle.
This box is of another color than that one.,Cette boîte est d&#39;une autre couleur que celle-là.
the women to whom he is talking.,les femmes auxquelles il parle.
Who is that man to whom he is speaking?,Qui est cet homme auquel il parle ?
Can you explain to me what you mean?,Pouvez-vous m&#39;expliquer ce que vous voulez dire ?
He shows what he is capable of.,Il montre ce dont il est capable.
"He is happy, and this can be seen.","Il est heureux, et ça se voit."
How long does it last?,Combien de temps cela dure?
I like each of them.,J&#39;aime chacun d&#39;eux.
You are what you eat.,Vous êtes ce que vous mangez.
to which (one),auquel (à laquelle)
"anything,whatever",n&#39;importe quoi
someone,quelqu&#39;un
the same,le même
It is the same.,C&#39;est le même.
I want some of these books.,Je veux quelques uns de ces livres.
She talks nonsense.,Elle dit n&#39;importe quoi.
We ate fish at lunch.,Nous avons mangé du poisson au déjeuner.
I have loved a lot.,J&#39;ai beaucoup aimé.
"At least, that is what I have always believed.","Du moins, c&#39;est ce que j&#39;ai toujours cru."
"This morning, he read the newspaper.","Ce matin, il a lu le journal."
You drank a beer Thursday.,Vous avez bu une bière jeudi.
Nobody has believed me at first.,Personne ne m&#39;a cru au début.
I have not been at my house today.,Je n&#39;ai pas été à ma maison aujourd&#39;hui.
My parents loved them more than us,Mes parents les ont aimées plus que nous.
If she loved me,Si elle m&#39;a aimée.
"Did you (fam) eat rice? No, I am going to eat rice.","Est-ce que tu as mangé du riz ? Non, je vais manger du riz."
The ones that I have eaten?,Celles que j&#39;ai mangées ?
Have I eaten it?,Est-ce que je l&#39;ai mangée ?
She has been terrible.,Elle a été terrible.
"Yes, you have read well.","Oui, vous avez bien lu."
I loved them less than her.,Je les ai moins aimées qu&#39;elle.
The animals that we ate.,Les animaux que nous avons mangés.
He did not believe me.,Il ne m&#39;a pas cru.
My friends went to the beach.,Mes amis sont allés à la plage.
My sister and I came.,Ma soeur et moi sommes venus.
We have gone to the restaurant and have eaten pasta.,Nous sommes allés au restaurant et nous avons mangé des pâtes.
She was born.,Elle est née.
You called each other.,Vous vous êtes téléphonés.
She was born on September twentieth.,Elle est née le vingt septembre.
I have spent three hours here!,J&#39;ai passé trois heures ici !
They interested us.,Ils nous ont intéressés.
They have gone in America last month.,Ils sont allés en Amérique le mois dernier.
He came.,Il est venu.
The chicken is eaten.,Le poulet est mangé.
I was born in this house.,Je suis né dans cette maison.
I came to tell you that I go away.,Je suis venu te dire que je m&#39;en vais.
Where has that happened?,Où cela s&#39;est-il passé ?
When were they born?,Quand sont-ils nés ?
They went on holidays to France last year.,Ils sont allés en vacances en France l&#39;an dernier.
When were they (f) born?,Quand sont-elles nées ?
We have interested them.,Nous les avons intéressés.
My brother went to a castle yesterday,Mon frère est allé à un château hier.
She is interested.,Elle est intéressée.
She came alone.,Elle est venue seule.
"Today, I went to buy clothing.","Aujourd&#39;hui, je suis allée acheter des vêtements."
I am going there (some place).,J&#39;y vais.
I am leaving.,Je m&#39;en vais.
I did not remember it.,Je ne m&#39;en suis pas souvenue.
He has arrived at the same moment.,Il est arrivé au même moment.
You (fam) arrived there just in time.,Tu y es arrivé juste à temps.
I have become a woman.,Je suis devenue une femme.
Everything had been like that when I left.,Tout était comme cela quand je suis partie.
The two brothers died.,Les deux frères sont morts.
He has died.,Il est mort.
Five of them died.,Cinq d&#39;entre eux sont morts.
He left the restaurant without paying.,Il est parti du restaurant sans payer.
How long did you stay?,Combien de temps êtes-vous resté ?
You (fam) stayed out all night without calling.,Tu es restée dehors toute la nuit sans appeler.
You (fam) arrived with her.,Tu es arrivé avec elle.
They have gone yesterday.,Ils sont parties hier.
How did it happen?,Comment est-ce arrivé ?
I stayed.,Je suis resté.
"Since he became rich, he is bad.","Depuis qu&#39;il est devenu riche, il est mauvais."
My girlfriend recalled my birthday.,Ma petite amie s&#39;est souvenue de mon anniversaire.
He has stayed at my place for three weeks.,Il est resté chez moi durant trois semaines.
I went up.,Je suis monté.
He left a few minutes ago.,Il est parti il y a quelques minutes.
"Since he has become tall, he is strong.","Depuis qu&#39;il est devenu grand, il est fort."
Her two parents are dead.,Ses deux parents sont morts.
They (f) remembered their children.,Elles se sont souvenues de leurs enfants.
"On Sunday, I (have) left.","Dimanche, je suis partie."
The dog has gotten up into the car.,La chienne est montée dans la voiture.
We left.,Nous sommes parties.
I decided.,Je me suis décidé.
He has tried.,Il a essayé.
He has decided to try.,Il a décidé d&#39;essayer.
She has called the police.,Elle a appelé la police.
He put the book on the table.,Il a mis le livre sur la table.
I called you.,Je vous ai appelé.
We have let it go.,Nous l&#39;avons laissé faire.
She gave me a lot to eat.,Elle m&#39;a donné beaucoup à manger.
I did not leave the food at your house.,Je n&#39;ai pas laissé la nourriture à votre maison.
The bird has fallen.,L&#39;oiseau est tombé.
The dress that I gave her.,La robe que je lui ai donnée.
He has fallen in love with her.,Il est tombé amoureux d&#39;elle.
"That chair, I put it in the living room","Cette chaise, je l&#39;ai mise dans le salon."
I called her.,Je l&#39;ai appelée.
These are the glasses that I gave you.,Ce sont les lunettes que je vous ai données.
She gave some milk to a cat.,Elle a donné du lait à un chat.
They have put their pants on.,Ils ont mis leurs pantalons.
He did not believe it in the beginning.,Il n&#39;y a pas cru au début.
to disappear,disparaître
The meat he has cooked is in the oven.,La viande qu&#39;il a cuisinée est dans le four.
She has made him happy.,Elle l&#39;a rendu heureux.
I have walked in the direction of the park.,J&#39;ai marché en direction du parc.
My friends have not spoken with him since Tuesday.,Mes amies n&#39;ont pas parlé avec lui depuis mardi.
She wore a pair of red pants.,Elle a porté un pantalon rouge.
They wore their hats.,Ils ont porté leurs chapeaux.
He drove up to his house.,Il a conduit jusqu&#39;à sa maison.
My parents cooked for my friends.,Mes parents ont cuisiné pour mes amis.
"The sandwiches, we have returned them.","Les sandwichs, nous les avons rendus."
He does not have the fish. He has returned them to us.,Il n&#39;a pas les poissons. Il nous les a rendus.
It is the dress that she wore yesterday.,C&#39;est la robe qu&#39;elle a portée hier.
He disappeared without leaving a trace.,Il a disparu sans laisser de trace.
"He likes our hats, but he gave them back to us.","Il aime nos chapeaux, mais il nous les a rendus."
They have never cooked.,Ils n&#39;ont jamais cuisiné.
We spoke last night.,Nous avons parlé la nuit dernière.
She cooked me fish.,Elle m&#39;a cuisiné du poisson.
I do not have the hats. I returned them to you.,Je n&#39;ai pas les chapeaux. Je vous les ai rendus.
I have given her back her computer.,Je lui ai rendu son ordinateur.
The skirt she wore was beautiful.,La jupe qu&#39;elle a portée était belle.
I have not spoken with my friend since Thursday.,Je n&#39;ai pas parlé avec mon amie depuis jeudi.
She took the case into court.,Elle a porté le cas au tribunal.
We spoke with him last night.,Nous avons parlé avec lui la nuit dernière.
He spoke to me on the phone yesterday.,Il m&#39;a parlé au téléphone hier.
Yesterday I walked up to my house.,Hier j&#39;ai marché jusqu&#39;à ma maison.
On Friday I spoke with my son&#39;s teachers.,Vendredi j&#39;ai parlé avec les professeurs de mon fils.
You (fam) have walked for a long time.,Tu as marché longtemps.
"During one day, he has disappeared.","Pendant une journée, il a disparu."
I talked with her for an hour.,J&#39;ai parlé avec elle pendant une heure.
Have you (fam) talked with your wife?,Est-ce que tu as parlé avec ta femme ?
Where did you see me?,Où m&#39;avez-vous vu ?
She has taken her book.,Elle a pris son livre.
I took some wine.,J&#39;ai pris du vin.
I have received your letter.,J&#39;ai reçu votre lettre.
I forgot where I put them.,J&#39;ai oublié où je les ai mis.
That day I saw you (fam) on television.,Ce jour-là je t&#39;ai vu à la télévision.
I allowed them.,Je les ai permis.
He achieved!,Il a réussi !
I saw you (fam) five weeks ago.,Je t&#39;ai vu il y a cinq semaines.
Then we have chosen.,Alors nous avons choisi.
I saw her before.,Je l&#39;ai vue avant.
I saw her home.,Je l&#39;ai vue chez elle.
"These are my car keys, did you take them from my pocket?","Ce sont mes clés de voiture, tu les as prises dans ma poche ?"
I am sure that he mistook me for my older sister.,Je suis sûre qu&#39;il m&#39;a prise pour ma grande sœur.
He thrived in spite of all the difficulties.,Il a réussi malgré toutes les difficultés.
I have mistaken you for your brother.,Je vous ai pris pour votre frère.
And I did it when I was thirty.,Et je l&#39;ai faite à trente ans.
I played with the cat.,J&#39;ai joué avec le chat.
I opened it.,Je l&#39;ai ouvert.
"Later, he played in Europe.","Plus tard, il a joué en Europe."
She has not heard from you.,Elle n&#39;a pas entendu parler de vous.
When have you (fam) said that to my friend?,Quand as-tu dit ça à mon ami?
I have opened the door slowly.,J&#39;ai ouvert la porte lentement.
When have you done that?,Quand avez-vous fait cela ?
She knew how to read.,Elle a su lire.
We have made cakes.,Nous avons fait des gâteaux.
They reduced the alcohol in this wine.,Ils ont réduit l&#39;alcool dans ce vin.
The woman is open-minded.,La femme est ouverte.
He knew how to speak to everybody.,Il savait parler à tous.
I already did it.,Je l&#39;ai déjà faite.
I have not heard her that night.,Je ne l&#39;ai pas entendue cette nuit-là.
There is one thing I have not told you.,Il y a une chose que je ne vous ai pas dite.
Where did you (fam) hear that?,Où as-tu entendu ça ?
They made the bed today.,Ils ont fait le lit aujourd&#39;hui.
It is open between May and October.,C&#39;est ouvert entre mai et octobre.
I have said a few words.,J&#39;ai dit quelques mots.
She has always known.,Elle a toujours su.
"Our house, it is my father who made it.","Notre maison, c&#39;est mon père qui l&#39;a faite."
Is the door open?,La porte est-elle ouverte ?
That thing he has told us yesterday.,Cette chose qu&#39;il nous a dite hier.
I did not know.,Je n&#39;ai pas su.
"It is a new store, it opened last week.","C&#39;est un nouveau magasin, il a ouvert la semaine dernière."
I did not do that.,Je n&#39;ai pas fait ça.
Why have you done it?,Pourquoi l&#39;avez-vous fait ?
I have heard him on the radio.,Je l&#39;ai entendu à la radio.
"Yes, he has known.","Oui, il a su."
The door is open.,La porte est ouverte.
She made cheese with milk.,Elle a fait du fromage avec du lait.
It is open during the day.,C&#39;est ouvert pendant la journée.
We have played cards.,Nous avons joué aux cartes.
She told us that.,Elle nous a dit ça.
I have said that.,J&#39;ai dit cela.
I saw her at the party.,Je l&#39;ai vue à la fête.
Who has allowed it?,Qui a permis cela ?
I found a place!,J&#39;ai trouvé une place !
I did not ask you.,Je ne vous ai pas demandé.
We did not find his hat anymore.,Nous n&#39;avons plus trouvé son chapeau.
I began to live alone.,J&#39;ai commencé à vivre seul.
You thought the same thing as me.,Vous avez pensé la même chose que moi.
She has begun very soon.,Elle a commencé très tôt.
His mother was ashamed of him.,Sa mère a eu honte de lui.
He expected that for this evening,Il a prévu ça pour ce soir.
You (fam) thought the same as me.,Tu as pensé la même chose que moi.
He could read that book.,Il a pu lire ce livre.
He has not found me.,Il ne m&#39;a pas trouvé.
The things that we thought and did.,Les choses que nous avons pensées et faites.
She expected the start to be tonight.,Elle a prévu le départ pour ce soir.
He thought about his parents?,Il a pensé à ses parents?
I asked myself why.,Je me suis demandé pourquoi.
They could not forget.,Ils n&#39;ont pas pu oublier.
He has come after you left.,Il est venu après que vous êtes partie.
He showed us how to ride a horse.,Il nous a montré comment monter à cheval.
We want to know why this one held for so long.,Nous voulons savoir pourquoi celui-ci a tenu si longtemps.
He has showed me his car.,Il m&#39;a montré sa voiture.
He stopped writing for one year.,Il a arrêté d&#39;écrire pendant un an.
I came after you left.,Je suis venu après que tu es partie.
He arrived after I have left.,Il est arrivé après que je suis parti.
I have stopped listening to the radio.,J&#39;ai arrêté d&#39;écouter la radio.
They have held me responsible.,Ils m&#39;ont tenu pour responsable.
He has not answered me.,Il ne m&#39;a pas répondu.
She sleeps after she read.,Elle dort après qu&#39;elle a lu.
This is the door I have held.,C&#39;est la porte que j&#39;ai tenue.
A police car has stopped on the side of the road.,Une voiture de police s&#39;est arrêtée sur le bord de la route.
This is the suitcase that we held.,C&#39;est la valise que nous avons tenue.
You have replied.,Vous avez répondu.
Could you go there?,Avez-vous pu aller là-bas?
She never answered.,Elle n&#39;a jamais répondu.
What did I have?,Qu&#39;ai-je eu ?
I understood you.,Je vous ai compris.
I have changed.,J&#39;ai changé.
She had a cat.,Elle a eu un chat.
She has recently obtained a good job.,Elle a récemment obtenu un bon emploi.
I did not have time to eat.,Je n&#39;ai pas eu le temps de manger.
He had to finish this work yesterday.,Il a dû finir ce travail hier.
She has lived there for seven years.,Elle a vécu là pendant sept ans.
The children that we had are grown-up.,Les enfants que nous avons eus sont grands.
At what time did you return yesterday evening?,À quelle heure êtes-vous rentré hier soir ?
I have had to change my plans.,J&#39;ai dû changer mes plans.
She came back very late at home.,Elle est rentrée très tard à la maison.
She surely has lived in an apartment or a house.,Elle a sûrement vécu dans un appartement ou une maison.
You had children.,Vous avez eu des enfants.
The coats that they had are too small.,Les manteaux qu&#39;ils ont eus sont trop petits.
I wrote three letters.,J&#39;ai écrit trois lettres.
She lost the keys to her car.,Elle a perdu les clés de sa voiture.
They are reading the book that I have written.,Ils lisent le livre que j&#39;ai écrit.
She has (re)found her turtle.,Elle a retrouvé sa tortue.
They pulled my hair.,Ils ont tiré mes cheveux.
I have wanted red shoes.,J&#39;ai voulu des chaussures rouges.
The boy has learned to read.,Le garçon a appris à lire.
We never found them again.,Nous ne les avons jamais retrouvés.
Where did you buy them?,Où les avez-vous achetés ?
The engineer designed this robot.,L&#39;ingénieur a conçu ce robot.
We have ordered the meal.,Nous avons commandé le repas.
Is the book closed?,Le livre est-il fermé ?
We adopted a child.,Nous avons adopté un enfant.
We have sold some.,Nous en avons vendu.
They have adopted the little girl.,Ils ont adopté la petite fille.
Your parents have appreciated me?,Tes parents m&#39;ont apprécié ?
He has sold them.,Il les a vendus.
How many of them did you buy?,Combien en avez-vous acheté ?
The house is sold.,La maison est vendue.
My father bought this hat for me.,Mon père a acheté ce chapeau pour moi.
It(she) is closed today.,Elle est fermée aujourd&#39;hui.
Everything is sold.,Tout est vendu.
I really have enjoyed the meal.,J&#39;ai vraiment apprécié le repas.
He bought a dress for her.,Il a acheté une robe pour elle.
contact,le contact
they have waited,ils ont attendu
you (inf) have added,tu as ajouté
one has served,on a servi
she has served me,elle m&#39;a servi
I have waited,j&#39;ai attendu
she has gone out,elle est sortie
he has sent,il a envoyé
he has helped me,il m&#39;a aidé
I have helped you,je vous ai aidé
she has brought me...,elle m&#39;a apporté
I have added it,je l&#39;ai ajouté
you have sent me...,vous m&#39;avez envoyé
my father has gone out,mon père est sorti
I have waited for you,je vous ai attendu
This knife served me well.,Ce couteau m&#39;a bien servi.
he has reached...,il a atteint
you (inf) have taken...again,tu as repris
he has cut,il a coupé
I have missed my meaI,j&#39;ai raté mon repas
recognised/well known,reconnu
I recognised this man,J&#39;ai reconnu cet homme
Who has given this order and why?,Qui a donné cet ordre et pourquoi ?
For what reason is it yellow?,Pour quelle raison est-il jaune ?
The effect is almost the same.,L&#39;effet est presque le même.
She has given him a blow.,Elle lui a mis un coup.
You have been an example for me.,Tu as été un exemple pour moi.
"blow, punch",le coup
"the rest, remainder",la suite
"example, instance (m)",l&#39;exemple
"Anyway, I am too old for that.","De toute façon, je suis trop vieux pour ça."
effect (m),l&#39;effet
"For reasons that I do not understand, she does not want to talk to me.","Pour des raisons que je ne comprends pas, elle ne veut pas me parler."
He works under my orders.,Il travaille sous mes ordres.
That is my way of thinking.,C&#39;est ma façon de penser.
But orders are orders.,Mais les ordres sont les ordres.
system,le système
It is a great idea.,C&#39;est une grande idée.
action (f),l&#39;action
"Actions, not words","Des actions, pas des mots"
His look is on me.,Son regard est sur moi.
look,le regard
She just had played her last role.,Elle venait de jouer son dernier rôle.
"role, part, function",le rôle
He trusts his view.,Il fait confiance à son regard.
"movement, motion",le mouvement
Do you have ideas to help me?,Avez-vous des idées pour m&#39;aider ?
"relationship, relation",le rapport
to defend,défendre
adventure (f),l&#39;aventure
situation,la situation
problem,le problème
manner,la manière
value,la valeur
"type, guy",le type
importance (f),l&#39;importance
"public, audience",le public
truth,la vérité
subject,la matière
smile,le sourire
advice,le conseil
coach,l&#39;entraîneur (m)
level,le niveau
"evolution, development, advancement",l&#39;évolution
attention (f),l&#39;attention
space (m),l&#39;espace
shadow (f),l&#39;ombre
effort (m),l&#39;effort
to reduce,réduire
intelligence (f),l&#39;intelligence
"type, kind, sort",le genre
Friendship is a safe bet.,L&#39;amitié est une valeur sûre.
There exist several types of dresses.,Il existe plusieurs types de robes.
What to do in such a situation?,Que faire dans une telle situation ?
It is the only system of this type in France.,C&#39;est le seul système de ce type en France.
He is interested in the image itself.,Il s&#39;intéresse à l&#39;image elle-même.
This magazine has nothing of interest!,Ce magazine n&#39;a aucun intérêt !
Her works on this topic are of primary importance.,Ses travaux sur ce sujet sont de première importance.
The public came in numbers.,Le public est venu nombreux.
He never pays attention.,Il ne fait jamais attention.
It is not like me.,Ce n&#39;est pas mon genre.
Beware of the dog!,Attention au chien !
a little more effort,encore un petit effort
We are not playing at the same level.,Nous ne jouons pas au même niveau.
Why are there different spaces?,Pourquoi y a-t-il différents espaces ?
You know the sort?,Vous voyez le genre ?
I want to be of the required level.,Je veux être au niveau.
progress,le progrès
future (m),l&#39;avenir
result,le résultat
at random,au hasard
member,le membre
sign,le signe
experience (f),l&#39;expérience
organization,l&#39;organisation
"It takes time, but the results are worth the effort.","Cela prend du temps, mais les résultats en valent l&#39;effort."
Have you made progress in your studies?,Avez-vous fait des progrès dans votre travail ?
